kind,sensitivity,english,chinese,malay,tamil
desc,standard,"Recommended for large extended families, community leaders, or when relatives are traveling from overseas to say their final farewells.",,,
desc,RELIGIOUS - needs faith-literate reviewer,"Sacred Catholic funeral rites including wake vigil prayers, rosary recitation, priest blessing, and coordination for church Funeral Mass at the parish.",,,
desc,standard,Singapore's dedicated inland ash scattering garden nestled within Choa Chu Kang. Families scatter cremated ashes into designated pebbled lanes amidst lush flora and flowing streams.,,,
desc,standard,Singapore's premier funeral transport. Features panoramic floor-to-ceiling glass display windows with soft ambient interior illumination and smooth air-suspension ride.,,,
desc,standard,Singapore's standard wake duration. Allows sufficient time for relatives and friends to visit and pay respects while maintaining energy and focus for the family.,,,
desc,standard,"Standard NEA government cremation service at Mandai Crematorium Complex with scheduled service hall, family viewing window, and next-day ash collection support.",,,
desc,RELIGIOUS - needs faith-literate reviewer,Traditional Buddhist rites conducted with venerable monks to guide the departed soul toward peace and auspicious rebirth through Sutra chanting and merit dedication.,,,
desc,RELIGIOUS - needs faith-literate reviewer,"Traditional Hindu Antyesti funeral ceremonies conducted with certified priests, holy Ganga water, tulsi leaves, and sacred ritual offerings.",,,
desc,standard,"Traditional and convenient void deck setup beneath family's residential block. Highly accessible for visiting neighbors, friends, and elder relatives.",,,
desc,standard,"Transforms open void decks into dignified, comfortable, and weather-protected wake environments with warm architectural lighting and cooling airflow.",,,
value,standard,1 Lead Funeral Director,,,
value,standard,10 Round Tables & 100 Stacking Chairs,,,
value,standard,100% Biodegradable Dissolving Urn,,,
value,standard,100% Eco-Cremation Certified,,,
value,standard,100% Fully Air-Conditioned,,,
value,standard,100-inch Motorized Tripod Screen,,,
value,standard,1080p 60fps Multi-Cam Feed,,,
value,standard,1080p Full High Definition,,,
value,standard,10:00 PM to 6:00 AM (8 Hours),,,
value,standard,2 On-Site Funeral Butlers,,,
value,standard,20-inch Silver Rolo Chain,,,
value,standard,3 Days / 2 Nights,,,
value,standard,3 or 5 Days (Flexible),,,
value,standard,3 to 7 Days Wake Support,,,
value,standard,3-Day Refreshment Support,,,
value,standard,4 Industrial Air-Coolers + 6 Fans,,,
value,standard,"4,000 Lumens Daylight-Bright",,,
value,standard,5 Days / 4 Nights,,,
value,RELIGIOUS - needs faith-literate reviewer,50 Catholic Mass Program Booklets,,,
value,standard,50 Custom Printed Hymn Booklets,,,
value,standard,7 Days / 6 Nights,,,
value,standard,925 Sterling Silver / 18k Vermeil,,,
value,RELIGIOUS - needs faith-literate reviewer,Adjacent Multi-Faith Prayer Area,,,
value,standard,Air-Conditioned Viewing Gallery,,,
value,standard,Bespoke Grand Botanical Wall,,,
value,standard,Bound Original + 2 Certified Copies,,,
value,standard,Built-In Projector & Sound System,,,
value,standard,Certified Bereavement Specialist,,,
value,RELIGIOUS - needs faith-literate reviewer,Certified Hindu Priest Team,,,
value,standard,Certified Will Drafting & Execution,,,
value,standard,Champagne French Sateen Silk,,,
value,standard,Choa Chu Kang Cemetery Complex,,,
value,RELIGIOUS - needs faith-literate reviewer,Christian Pastoral Liturgy,,,
value,standard,Church & Pastor Service Liaison,,,
value,standard,Complete Void Deck Enclosure,,,
value,standard,Complimentary Initials & Date,,,
value,standard,Contemporary Non-Religious Memorial,,,
value,standard,Cortege on Day 5,,,
value,standard,Cortege on Morning of Day 3,,,
value,standard,"Crucifix, Candles & Holy Water Font",,,
value,standard,Curated Acoustic & Classical Playlist,,,
value,standard,Custom Fresh Orchid & Lily Frame,,,
value,standard,"Customized 3, 5, or 7 Days",,,
value,standard,Daily Maintenance & On-Call Director,,,
value,standard,Daily Preservation Monitoring,,,
value,RELIGIOUS - needs faith-literate reviewer,Daily Vegetarian Merit Offerings,,,
value,standard,Daily Water Reservoir Conditioning,,,
value,standard,Dedicated Coordinator on Call,,,
value,standard,Dedicated Daily Team,,,
value,standard,Dedicated Dignity Transfer Van,,,
value,standard,Digital MP4 Master on USB & Cloud,,,
value,standard,Digital Memory Video Screen Included,,,
value,standard,Eco-Friendly Biodegradable Tableware,,,
value,standard,Elaborate Paper Crafts & Joss Offerings,,,
value,standard,Extended 5-Day On-Site Support,,,
value,standard,External PA Sound System for Procession,,,
value,standard,Family Open-Mic & Memory Table,,,
value,standard,Family Rest Room & Ensuite Washroom,,,
value,standard,"Free-Flow Hot Coffee, Tea & Mineral Water",,,
value,standard,Full 7-Day Town Council Clearance,,,
value,standard,Full Lifetime Archival Recording,,,
value,standard,Full-Length Casket Blanket + Photo Surround,,,
value,standard,Fully Customizable Schedule,,,
value,RELIGIOUS - needs faith-literate reviewer,"Golden Buddha Statue, Incense & Fruits",,,
value,standard,Gongyo & Daimoku Recitation,,,
value,standard,Grade-A Seasoned Solid Teak,,,
value,standard,Grand Procession on Day 7,,,
value,standard,Green & Sustainable Burial,,,
value,standard,HDB Void Deck or Parlour Suite,,,
value,RELIGIOUS - needs faith-literate reviewer,"Halal, Buddhist Vegetarian, or Non-Halal",,,
value,standard,Hand-Rubbed Satin Silk Lacquer,,,
value,standard,Hermetic Micro-Screw Sealing,,,
value,standard,High-Gloss Hand-Polished Walnut,,,
value,standard,High-Power Industrial Fans,,,
value,RELIGIOUS - needs faith-literate reviewer,Hindu Vedic Antyesti Rites,,,
value,standard,Hokkien / Teochew / Cantonese / Hakka,,,
value,standard,Hot Chafing Dishes & Daily Replenishment,,,
value,standard,Illuminated Chrome & Wood Roller Deck,,,
value,standard,Illuminated Wood Cross & Candle Display,,,
value,standard,Immediate Family Members,,,
value,standard,In-Person or Confidential Video Call,,,
value,RELIGIOUS - needs faith-literate reviewer,Lead Venerable Monks Chanting Rites,,,
value,RELIGIOUS - needs faith-literate reviewer,Mahayana / Theravada Chanting,,,
value,RELIGIOUS - needs faith-literate reviewer,Mandai Cremation Ritual Support,,,
value,standard,Mandai Crematorium Complex,,,
value,standard,Mandai Government Crematorium,,,
value,standard,"Mandai, CCK, or Private Halls",,,
value,standard,Marina South Pier / Changi Ferry,,,
value,standard,Memorial Services & Final Cortege,,,
value,standard,Mercedes-Benz / Mitsuoka Royal Hearse,,,
value,standard,Mercedes-Benz Glass Viewing Bay,,,
value,standard,Minimalist Warm Ambient Styling,,,
value,standard,Mitsuoka Royal Classic Limousine,,,
value,standard,Modern Elegant Botanical,,,
value,standard,Morning Status Briefing to Family,,,
value,standard,Natural Light Matte Grain,,,
value,standard,Next-Day Ash Collection Support,,,
value,RELIGIOUS - needs faith-literate reviewer,Nichiren Buddhism / Soka Gakkai,,,
value,standard,No Wake (Direct Transfer),,,
value,standard,PLRD-Licensed Professional Security Guard,,,
value,RELIGIOUS - needs faith-literate reviewer,Parish Funeral Mass Scheduling,,,
value,standard,Password-Protected Private Web Link,,,
value,standard,Pebbled Streams & Shaded Gardens,,,
value,standard,"Perimeter Patrol, Joss Safety & Vigil",,,
value,standard,Permanent Mortar / Hermetic Seal,,,
value,standard,Polished Marble or Ceramic Urn,,,
value,standard,Private Secured Memorial Suite,,,
value,standard,Private Twin-Engine Air-Con Boat,,,
value,standard,Professional On-Call Coordinator,,,
value,standard,Quiet Memorial Gathering,,,
value,RELIGIOUS - needs faith-literate reviewer,Roman Catholic Liturgy,,,
value,standard,SGI Chapter Liaison Assistance,,,
value,standard,"Sacred Thread, Ghee Lamps & Flowers",,,
value,standard,Senior Director + Concierge Team,,,
value,standard,Singapore Wills Registry Notification,,,
value,standard,Single or Companion Niche,,,
value,standard,"Smashing Pot, Crossing Bridge, An Ling",,,
value,standard,Solid Cast Brass Swing-Bars,,,
value,standard,Solid Natural Oak Timber,,,
value,standard,Standard Ash Collection Urn,,,
value,standard,Standard Ceremonial Hearse,,,
value,standard,Sustainable Plantation Pine,,,
value,standard,"Tables, Chairs & Privacy Canvas",,,
value,standard,Town Council Booking Handled,,,
value,standard,Traditional Butsudan Setup,,,
value,RELIGIOUS - needs faith-literate reviewer,Traditional Taoist Priest Troupe,,,
value,standard,Two Independent Legal Witnesses,,,
value,standard,Uniformed Senior Master Chauffeur,,,
value,standard,Up to 110 kg,,,
value,standard,Up to 12 Family Members,,,
value,standard,Up to 150 kg (Reinforced),,,
value,standard,Up to 200 kg (Double-Reinforced),,,
value,standard,Up to 3 Private 1-on-1 Sessions,,,
value,standard,Warm LED Strip & Chandelier Fixtures,,,
value,standard,Water & Electrical Hookup Setup,,,
value,standard,"White Lilies, Orchids & Eucalyptus",,,
inclusion,standard,10 tables with maroon/champagne covers and 100 cushioned chairs,,,
inclusion,standard,24/7 immediate hospital or home body collection and transfer,,,
inclusion,standard,"24/7 refreshment counter with bottled water, snacks, and packet drinks",,,
inclusion,RELIGIOUS - needs faith-literate reviewer,50 printed Catholic order of service and rosary booklets,,,
inclusion,standard,50 printed memorial hymn sheets with family dedication,,,
inclusion,standard,Adjustable inner mattress bed mechanism,,,
inclusion,standard,Air-conditioned transfer vehicle for cortege and family on departure day,,,
inclusion,standard,"Assistance with NEA niche selection, ballot, and ownership transfer",,,
inclusion,standard,Assistance with formal execution and witnessing,,,
inclusion,standard,Basic floral photo wreath and memorial register book,,,
inclusion,standard,Burning permit clearance and dedicated ash pit management,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,"Catholic altar with standing crucifix, candles, and holy water dispenser",,,
inclusion,standard,"Ceremonial scattering tools, watering vessels, and flower petals",,,
inclusion,standard,Ceremonial send-off at service hall with director guidance,,,
inclusion,standard,Certified handcrafted keepsake pendant and funnel filling kit,,,
inclusion,standard,Certified heirloom provenance and inspection seal,,,
inclusion,standard,"Comfortable sofa lounge, dining area, and tea bar",,,
inclusion,standard,"Complete pooja materials, brass lamps, garlands, and sacred herbs",,,
inclusion,standard,Complimentary wooden nameplate engraving,,,
inclusion,standard,Comprehensive 7-day venue and logistics management,,,
inclusion,standard,Comprehensive asset distribution and guardian appointment clause drafting,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,"Consecrated Buddha image altar with lotus lamps, incense, and fruit offerings",,,
inclusion,standard,Contemporary photo memory gallery and guest memorial signing table,,,
inclusion,standard,Continuous automated loop display throughout the wake days,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Coordination with Mandai Crematorium Hindu prayer hall,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Coordination with local SGI chapter for community memorial chanting,,,
inclusion,standard,Coping strategies and personalized bereavement literature,,,
inclusion,standard,Custom brass nameplate with personalized memorial inscription,,,
inclusion,standard,Custom photo porcelain plaque and memorial epitaph carving,,,
inclusion,standard,Custom soundtrack and heartfelt title typography animation,,,
inclusion,standard,Daily cleanup and rubbish clearance by logistics team,,,
inclusion,standard,Daily embalming checks and dry-ice maintenance,,,
inclusion,standard,Daily floral hydration and preservation care,,,
inclusion,standard,Daily floral hydration checks by funeral butler,,,
inclusion,standard,Daily hot buffet spread (choice of 6 courses + 1 beverage),,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Daily morning and evening altar checks by funeral butler,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Daily vegetarian meal offerings for the departed soul,,,
inclusion,standard,Dedicated funeral director on-site guidance during scattering rite,,,
inclusion,standard,Dedicated on-site videographer with professional audio microphones,,,
inclusion,standard,Dedicated overnight on-site stationed guard,,,
inclusion,standard,Dedicated transport from wake venue to crematorium or burial site,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Dialect-customized ceremonial altar with Taoist deities and ancestral tablet,,,
inclusion,standard,Digital slideshow screen setup with curated acoustic ambient music,,,
inclusion,standard,Digitization and color restoration of up to 60 family photographs,,,
inclusion,standard,Dignified cortege arrangement for crematorium send-off,,,
inclusion,standard,Direct transport to Mandai Crematorium with family accompaniment,,,
inclusion,standard,Eco-certified wood casket and dry ice preservation,,,
inclusion,standard,Eco-friendly shell urn made of biodegradable food-grade paper,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,"Encoffinment, night memorial, and final send-off monk chanting sessions",,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Enshrinement prayer blessing coordination with family,,,
inclusion,standard,Experienced cortege road marshalling for smooth transit,,,
inclusion,standard,Extended 5-day on-site butler supervision and logistics,,,
inclusion,standard,Family coordination and crematorium escort,,,
inclusion,standard,"Food warmer setup, linen tablecloths, and waste clearance",,,
inclusion,standard,Free access to certified grief counseling professionals,,,
inclusion,standard,Fresh flower petals and ceremonial tribute basket for family,,,
inclusion,standard,Fresh premium floral frame around memorial portrait,,,
inclusion,standard,Full coordination of Day 3 funeral procession and crematorium cortege,,,
inclusion,standard,Full funeral procession management on Day 5,,,
inclusion,standard,Full-length draped fresh casket flower blanket spray,,,
inclusion,standard,Full-length solid brass swing-bar handles with secure mounting,,,
inclusion,standard,"Full-time hospitality team managing guest seating, refreshments, and night watches",,,
inclusion,standard,Funeral director MC facilitation for family eulogies and sharing,,,
inclusion,standard,GPS maritime coordinate certificate of exact scattering location,,,
inclusion,standard,Gentle ambient acoustic background music,,,
inclusion,standard,Gold-tone antique relief brackets and heavy-duty load bars,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Gong and drum priest chanting troupe conducting soul-guiding rituals,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Guidance on 49-day and 100-day ancestral prayer schedules,,,
inclusion,standard,Hand-tailored champagne sateen interior with pleated fold borders,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Handcrafted floral portrait styling and bespoke altar backdrop,,,
inclusion,standard,Hearse cortege escort from wake to church and Mandai,,,
inclusion,standard,Heavy-duty industrial cooling fans and spotlights,,,
inclusion,standard,Hermetically sealed moisture protection liner,,,
inclusion,standard,High-definition digital photo tribute presentation setup,,,
inclusion,standard,High-definition downloadable video recording within 24 hours,,,
inclusion,standard,Hourly perimeter inspection and fire safety vigil over incense burners,,,
inclusion,standard,Hygiene certified and NEA food-safety compliant,,,
inclusion,standard,Immediate emergency contact with on-call funeral director,,,
inclusion,standard,Integrated AV system for slideshows and tribute music,,,
inclusion,standard,Jewelry gift presentation box and certificate of authenticity,,,
inclusion,standard,Keepsake remembrance cards for visiting friends,,,
inclusion,standard,Lifetime seal integrity guarantee,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Master florist bespoke multi-tiered floral altar and entrance installation,,,
inclusion,standard,Memorial service booklet and floral tribute presentation,,,
inclusion,standard,Memory compartment drawer for cherished personal keepsakes,,,
inclusion,standard,Mercedes-Benz custom glass-paned ceremonial hearse,,,
inclusion,standard,Minimalist aesthetic memorial table and registration book,,,
inclusion,standard,Mitsuoka Royal Classic Limousine ceremonial hearse with police escort coordination,,,
inclusion,standard,Multi-night religious ceremony coordination,,,
inclusion,standard,NEA booking coordination and official scattering permit clearance,,,
inclusion,standard,NEA cremation booking and government fee clearance,,,
inclusion,standard,NEA death registration and cremation permit filing assistance,,,
inclusion,standard,Next-day morning ash retrieval and placement into urn,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Night service facilitation and closing committal prayers,,,
inclusion,standard,No religious constraints or obligations,,,
inclusion,standard,Official Certificate of Cremation issued by NEA,,,
inclusion,standard,On-site concierge staff maintenance,,,
inclusion,standard,One-on-one confidential consultation with estate planner,,,
inclusion,standard,Ongoing community support circle referrals,,,
inclusion,standard,PA sound system with Bluetooth for favorite praise hymns,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Parish priest and choir liaison for Funeral Mass and crematorium committal,,,
inclusion,standard,Permanent digital cloud link for family archive sharing,,,
inclusion,standard,Permanent secure digital copy storage,,,
inclusion,standard,Police escort coordination for Day 7 funeral cortege,,,
inclusion,standard,Post-cremation Asthi Visarjan (sea scattering) guidance,,,
inclusion,standard,Post-funeral venue handover and debris removal,,,
inclusion,standard,Post-service bouquet presentation for family,,,
inclusion,standard,Premium polished marble or jade ash urn with gold-engraved seal,,,
inclusion,standard,Premium teak casket option and complimentary custom tribute video production,,,
inclusion,standard,Private hall rental with 24/7 keycard access for family,,,
inclusion,standard,Private maritime boat charter with certified skipper and safety gear,,,
inclusion,standard,"Private, mobile-friendly viewing link with interactive guestbook",,,
inclusion,standard,"Professional embalming, cleansing, dressing, and makeup",,,
inclusion,standard,Professional sterile encapsulation performed by our laboratory,,,
inclusion,standard,Recyclable rope and timber swing handles,,,
inclusion,standard,Replenishment of refreshment items and joss supplies,,,
inclusion,standard,"Round tables, cushioned seating, and mobile rubbish bins",,,
inclusion,standard,"Safe, empathetic environment to process grief and feelings",,,
inclusion,standard,"Safeguarding of condonlence boxes, electronic equipment, and venue",,,
inclusion,standard,Smooth motorized roller casket tray with secure locking pins,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Soka altar styling with greens (evergreen sprigs) and incense burners,,,
inclusion,standard,Standard casket with eco-certified satin lining,,,
inclusion,standard,Tailored white sateen bedding and padded pillow,,,
inclusion,standard,Town Council permit approval and utility electrical hookup,,,
inclusion,standard,Town Council permit extension filing,,,
inclusion,standard,Town Council void deck reservation and permit clearance,,,
inclusion,standard,Traditional mourning attire (hemp/linen) and ceremonial lantern pair,,,
inclusion,standard,Transport of family and ash urn to Garden of Peace,,,
inclusion,standard,Tufted ivory velvet pillow and interior mattress trim,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Two dedicated funeral butlers to maintain altar and serve guest refreshments,,,
inclusion,standard,Unlimited global concurrent viewers with no lag,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,"Vedic priest officiating cleansing, encoffinment, and crematorium rites",,,
inclusion,standard,"Waterproof canvas enclosure, privacy blinds, and perimeter lighting",,,
inclusion,standard,Waterproof rain blinds and privacy screening curtains,,,
inclusion,standard,White floral front bonnet sash and side ceremonial banners,,,
inclusion,RELIGIOUS - needs faith-literate reviewer,Wooden polished cross altar with fresh white flower sprays,,,
